,Penalty,Battery Penalty,Reward,Total
0,1.8200765313123894,5.662960230345215,53.57864761352539,61.06168437518299
1,2.968326106942744,5.960901321478731,55.75432968139648,64.68355710981795
2,2.9544892979360746,6.048406854850354,54.19304656982422,63.195942722610646
3,4.765219060079179,5.964182922320315,55.29396057128906,66.02336255368856
4,2.9145385510082455,5.719172870701447,56.1807861328125,64.81449755452219
5,1.776511372458836,6.392319846503556,62.30265426635742,70.47148548531982
6,3.878900678550732,5.885016997343292,55.22564315795898,64.989560833853
7,4.5711121073796335,6.1193059998075245,57.68709182739258,68.37750993457973
8,4.7741991745194845,5.480901202845455,49.26822662353516,59.5233270009001
9,2.9774934084355493,5.956060376186397,56.67227935791016,65.6058331425321
10,3.2496990854790457,5.949201575848715,58.40998077392578,67.60888143525354
11,6.089915719643956,5.67965682204748,50.37290573120117,62.14247827289261
12,3.170290702268425,5.136960831763245,48.60498809814453,56.9122396321762
13,5.602549446182666,6.006981829183397,54.83930587768555,66.44883715305161
14,2.8602853714653813,5.969837590932938,57.46895980834961,66.29908277074793
