Penalty,Battery Penalty,Reward,Total
2.6686695125781164,4.619682692606065,41.52117156982422,48.8095237750084
1.223595513738108,3.7049158278721235,32.43939971923828,37.36791106084851
4.1562687171766886,3.694124818385963,27.06279754638672,34.91319108194937
3.179815822999493,3.852096778960541,33.69868087768555,40.73059347964558
3.1131765851330355,4.492704870797615,40.64389801025391,48.24977946618456
7.262686783427473,4.101750901980199,31.04090118408203,42.405338869489704
3.4830756501325375,4.445173358869197,38.09303665161133,46.02128566061306
1.6069168198190493,3.9208471503003803,32.6769905090332,38.20475447915263
5.204242999379391,4.445379306791734,39.37862014770508,49.0282424538762
3.362559029750747,4.418086137173082,40.80134201049805,48.58198717742188
10.739050774146348,4.306258723513865,28.371017456054688,43.4163269537149
2.9185229827326697,4.063328378134661,38.114356994628906,45.09620835549624
4.419377810042392,3.6913980888084357,31.69007873535156,39.80085463420239
3.5315614700406517,4.278506318810594,37.99482727050781,45.804895059359055
3.876175570237378,4.813578782364935,39.28297805786133,47.97273241046364
