Penalty,Battery Penalty,Reward,Total
0.655390099507319,2.0106371625790844,17.927000045776367,20.59302730786277
3.6977816507999797,1.9612281796755797,16.603904724121094,22.262914554596655
0.8912461867678974,2.090354372767564,19.964357376098636,22.945957935634098
1.2473198125228797,1.9317225468884538,19.10549545288086,22.284537812292193
2.642651794612883,2.109605061052534,20.27532196044922,25.027578816114634
2.051676089889871,2.1038158099711746,20.55891227722168,24.714404177082727
1.2605486709945035,2.020572287179058,19.531911849975582,22.813032808149146
2.087622498057115,2.0337366582998877,19.609851837158203,23.731210993515205
1.719105924438568,2.2075697544525497,21.572378158569336,25.499053837460455
5.254933523340335,2.0340199275444215,16.432777404785156,23.72173085566991
2.5297559939064347,2.205327670464746,19.823028564453125,24.558112228824307
2.1361806176005627,1.903819108499174,18.189489364624023,22.22948909072376
3.1009861012216318,1.9687370843233916,17.755769729614258,22.82549291515928
2.1544200902028336,1.9135412980785484,17.51708984375,21.585051232031383
1.8804322262223763,2.2357728697376267,20.70248794555664,24.818693041516646
3.3066363068060403,1.8760823773354294,16.321945190429688,21.504663874571158
2.0133800140279887,1.933763485834446,16.608903884887695,20.55604738475013
2.8748576439354285,2.108758918019311,18.425018310546875,23.408634872501615
3.35566265800849,2.0766697304575024,19.22813415527344,24.66046654373943
1.8553679307611133,2.119725591174044,18.55933952331543,22.534433045250587
