Penalty,Battery Penalty,Reward,Total
2.6777239911147763,5.252517275562668,50.12423706054688,58.054478327224324
9.212024938307525,4.976197836508536,42.90385818481445,57.092080959630515
4.39441952304894,5.241850845512127,50.76773452758789,60.40400489614896
4.193039405232362,4.791340689771161,45.73469161987305,54.71907171487657
4.562129899415808,4.3867735879308025,37.23191452026367,46.180818007610284
3.673789182337558,5.491282877988136,50.747703552246094,59.91277561257179
3.5476361450078415,5.120265786639383,48.182716369628906,56.85061830127613
31.280223649104357,0.5852350356466549,-32.882057189941406,-1.0165985051903945
5.477261515679425,5.0877772919613005,46.20779037475586,56.772829182396585
5.168881922430836,5.2483866127154695,47.11127853393555,57.52854706908185
6.277621199782544,5.083625632234582,47.0634880065918,58.42473483860893
3.8144771592729265,5.387042043639995,50.4640998840332,59.66561908694612
2.03059733140201,5.015112181213499,51.758331298828125,58.804040811443635
2.7397592911954334,5.212576058543665,48.65916442871094,56.61149977845004
1.2313580191113527,4.804679699302213,46.42036056518555,52.456398283599114
2.9029457840386153,4.894105066603057,46.62536239624024,54.422413246881916
1.9277149003103744,5.213855114614002,52.114864349365234,59.25643436428961
8.307237269828196,4.971610207220689,43.33140182495117,56.61024930200006
1.1741846559169515,4.957118068950276,46.72392654418945,52.85522926905668
3.4377574249299796,5.2642381949823385,47.97202301025391,56.67401863016623
