Penalty,Battery Penalty,Reward,Total
3.243889698,3.440211437,30.96193886,37.64603999
2.114217974,3.496892025,31.67852783,37.28963783
1.106737919,2.359557919,15.48963165,18.95592749
1.13195218,3.471240609,35.83472443,40.43791722
12.79838262,3.167271577,19.12320137,35.08885556
5.850788271,3.09184502,26.31788254,35.26051583
3.682401489,3.425104197,30.8235054,37.93101109
32.68528259,0,-32.68528366,-1.07E-06
3.314732754,2.927060697,26.60598564,32.84777909
1.355048422,3.483892292,32.37617111,37.21511183
4.520297207,3.295275387,29.76127434,37.57684693
4.208130582,3.095467812,26.12771225,33.43131064
2.687896315,3.22714715,30.74095535,36.65599882
6.229362236,2.976140659,22.92809486,32.13359776
1.697597696,3.277490301,28.83590889,33.81099689
3.695015838,3.237772974,27.14046669,34.0732555
2.435786505,3.564098936,30.57069778,36.57058323
1.689560175,3.100204574,26.72509384,31.51485859
2.67244595,3.146625614,28.34826088,34.16733244
4.308394603,3.458050986,29.94974327,37.71618886
