Penalty,Battery Penalty,Reward,Total
6.6258784894523135,4.675517763089916,39.12531280517578,50.426709057718014
3.794937688306501,4.492873510811666,43.294677734375,51.58248893349317
3.735234963434366,4.747893043423273,41.39065170288086,49.8737797097385
1.8514634612679328,4.667702883255318,46.30679702758789,52.82596337211114
1.7220861111921075,4.60584232392276,43.644290924072266,49.972219359187136
34.25712064390125,0.0,-34.25712203979492,-1.3958936690983137e-06
2.251175411399033,4.172448299755908,37.36483001708984,43.788453728244775
2.8354075167908666,4.730986971267487,45.32403564453125,52.8904301325896
2.166664338676679,4.621700745056855,45.037330627441406,51.825695711174944
6.065203047166614,4.149028039469542,34.47280502319336,44.68703610982951
2.4512056909796627,4.58619366633215,43.94235610961914,50.97975546693095
4.857527213384407,4.418728411979242,40.39036178588867,49.66661741125232
6.145655482374043,4.513000868398901,41.1929931640625,51.851649514835444
2.9419218883593987,4.435748221952947,41.43955612182617,48.817226232138516
3.85043578047724,4.724673039127563,44.06671905517578,52.64182787478059
4.588584171037598,4.59415480429521,39.57568359375,48.75842256908281
2.0620703261596924,4.480837424241691,43.00032424926758,49.54323199966896
1.6586552923194045,4.390164938846899,39.9480094909668,45.9968297221331
2.944720021801599,4.8967170624266485,46.61636734008789,54.45780442431614
4.2880061583604,4.8018230557885175,42.13173294067383,51.22156215482275
