受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2021/1/1,17,16921950,22062050,16921950,28,30,30,30,19,19,19,19,19,19,3327250,3327250,1053250,559750
2021/1/1,18,17423100,22166000,17348100,28,28,28,28,19,19,19,19,19,19,3563200,3488200,996000,549050
2021/1/1,19,17747300,21950100,17522300,20,28,28,28,15.19,15.19,15.19,15.19,15.19,15.19,3714800,3489800,851100,444750
2021/1/1,20,18110200,21918750,17734000,19,22.22,28,28,14.97,14.97,14.97,14.97,14.97,14.97,3808850,3433850,850600,449250
2021/1/1,21,18446250,21478400,18066900,14.49,15,15,15,8.35,8.35,8.35,8.35,8.35,8.35,3803700,3428700,1048100,574250
2021/1/1,22,18600100,21236650,17932850,10.24,14.79,14.79,14.79,7.21,7.21,7.21,7.21,7.21,7.21,3948700,3423700,1083100,596750
2021/1/1,23,18996100,21047700,18004250,6.75,9.43,9.43,9.43,4.9,4.9,4.9,4.9,4.9,4.9,4095800,3395800,1052550,569700
2021/1/1,24,19212350,20924700,18001100,6.1,7.33,7.33,7.33,4.62,4.62,4.62,4.62,4.62,4.62,4094850,3332850,1090550,604200
2021/1/1,25,18976200,20668700,17758900,5.1,7.33,7.33,7.33,4.62,4.62,4.62,4.62,4.62,4.62,4106700,3317700,1010050,548700
2021/1/1,26,18955250,20468800,17705700,5.01,6.88,6.88,6.88,4.5,4.5,4.5,4.5,4.5,4.5,4130350,3318350,951950,490600
2021/1/1,27,18911900,20481550,17805250,6.12,8.15,8.15,8.15,4.52,4.52,4.52,4.52,4.52,4.52,4133650,3340650,957300,495950
2021/1/1,28,18563750,20409850,17695000,6.49,9.5,9.5,9.5,4.62,4.62,4.62,4.62,4.62,4.62,3954300,3394300,920300,508950
2021/1/1,29,18381350,20716250,17532400,8.21,14.79,14.79,14.79,6.5,6.5,6.5,6.5,6.5,6.5,3817700,3429200,945300,533950
2021/1/1,30,17978150,20699000,17322500,11.26,14.89,14.89,14.89,6.36,6.36,6.36,6.36,6.36,6.36,3800950,3425950,840450,429100
2021/1/1,31,17392350,20944800,17123850,14.97,20,20,20,10.4,10.4,10.4,10.4,10.4,10.4,3639200,3414200,855500,371150
2021/1/1,32,16905000,21188900,16830000,20,28,28,28,14.97,14.97,14.97,14.97,14.97,14.97,3490150,3415150,826500,288900
2021/1/1,33,16965550,21483800,16931450,26.51,28,28,28,15.19,15.19,15.19,15.19,15.19,15.19,3515550,3515550,695600,244000
2021/1/1,34,17102300,22739100,17097000,35,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,30.09,3369650,3369650,805200,304000
2021/1/1,35,16856600,23151750,16856300,50,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,48.68,3335800,3335800,884000,304500
2021/1/1,36,16922600,23617950,16922600,50,50,50,50,50,50,50,50,50,50,3268450,3268450,893500,304500
2021/1/1,37,16876000,23727650,16876000,50,50,50,50,50,50,50,50,50,50,3273700,3273700,883450,303950
2021/1/1,38,16912150,23759000,16912150,50,50,50,50,50,50,50,50,50,50,3265500,3265500,883450,303950
2021/1/1,39,16867000,23657900,16867000,50,50,50,50,50,50,50,50,50,50,3280700,3280700,883450,303950
2021/1/1,40,16848650,23547550,16848650,50,50,50,50,50,50,50,50,50,50,3276700,3276700,883450,303950
2021/1/1,41,16851200,23617650,16851200,60,60,60,60,60,60,60,60,60,60,3277500,3277500,809650,303950
2021/1/1,42,16813250,23541150,16813250,60,60,60,60,60,60,60,60,60,60,3253100,3253100,797150,303950
2021/1/1,43,16634200,23345750,16634200,60,60,60,60,60,60,60,60,60,60,3102250,3102250,772650,303950
2021/1/1,44,16558650,22907000,16558650,60,60,60,60,60,60,60,60,60,60,3101350,3101350,758650,303950
2021/1/1,45,16050850,22692200,16050850,66.84,66.84,66.84,66.84,66.84,66.84,66.84,66.84,66.84,66.84,3054600,3054600,986400,303950
2021/1/1,46,16059450,22208550,16059450,50,50,50,50,50,50,50,50,50,50,3050700,3050700,848450,303950
2021/1/1,47,16046800,22026850,16046800,40,40,40,40,40,40,40,40,40,40,3007000,3007000,903950,303950
2021/1/1,48,16125950,21438000,16125950,30,30,30,30,30,30,30,30,30,30,3000450,3000450,903950,303950
2021/1/2,1,16276750,21831250,16276400,37.71,40,40,40,40,40,40,40,40,40,3003900,3003900,856850,502900
2021/1/2,2,16100350,21550500,16100350,37.71,37.71,37.71,37.71,37.71,37.71,37.71,37.71,37.71,37.71,3129800,3129800,1026700,501750
2021/1/2,3,16076350,21307300,16076350,35,37.13,37.13,37.13,20,20,20,20,20,20,3151600,3151600,1030450,502550
2021/1/2,4,16089250,21172250,16082900,25.05,35,35,35,19,19,19,19,19,19,3154000,3154000,1078300,543400
2021/1/2,5,16116650,21158650,16116650,25,35,35,35,20,20,20,20,20,20,3151900,3151900,1066250,545900
2021/1/2,6,16152450,21273700,16131400,25,35,35,35,20,20,20,20,20,20,3150000,3150000,1139550,545700
2021/1/2,7,16175850,21231550,16152500,25,30,30,30,20,20,20,20,20,20,3148900,3148900,1120550,546250
2021/1/2,8,16138200,21179200,16110550,25,29,29,29,20,20,20,20,20,20,3147350,3147350,1116050,546250
2021/1/2,9,16181100,21063450,16127900,25,35,35,35,19,19,19,19,19,19,3147200,3147200,1072550,546250
2021/1/2,10,16210350,21008450,16166650,25,35,35,35,15.19,15.19,15.19,15.19,15.19,15.19,3146400,3146400,1029250,546950
2021/1/2,11,16176900,21042900,16155850,25.02,25.05,25.05,25.05,19,19,19,19,19,19,3147150,3147150,956700,496950
2021/1/2,12,16312800,21216650,16288250,25.05,29,29,29,19,19,19,19,19,19,3149050,3149050,957550,503300
2021/1/2,13,16601000,21425150,16581550,29,29,29,29,20,20,20,20,20,20,3154900,3154900,928750,538500
2021/1/2,14,16506700,21721550,16506700,29,30,30,30,30,30,30,30,30,30,3188450,3188450,851800,546450
2021/1/2,15,16451900,22254350,16441150,40,40,40,40,40,40,40,40,40,40,3197400,3197400,843550,488800
2021/1/2,16,16803300,22840850,16794400,40,40,40,40,40,40,40,40,40,40,3205050,3205050,1039550,430650
2021/1/2,17,17064950,23006800,17058250,31,35,35,35,35,35,35,35,35,35,3239400,3239400,1244750,400950
2021/1/2,18,17499150,23309350,17492750,29,30,30,30,24.72,24.72,24.72,24.72,24.72,24.72,3318950,3318950,1287150,418950
2021/1/2,19,17985150,23239600,17979700,29,29,29,29,23.95,23.95,23.95,23.95,23.95,23.95,3482900,3482900,1469650,687750
2021/1/2,20,18452450,22962300,18452450,25.05,29,29,29,20,20,20,20,20,20,3675800,3675800,1384250,966150
2021/1/2,21,18888050,23304800,18882450,16,16,16,16,14.97,14.97,14.97,14.97,14.97,14.97,3793300,3793300,1506150,1023050
2021/1/2,22,19181950,23446000,18939950,15.74,15.79,15.79,15.79,7.61,7.61,7.61,7.61,7.61,7.61,3938850,3788850,1896500,1077000
2021/1/2,23,19306950,23204800,18979650,12,14.23,14.23,14.23,10.36,10.36,10.36,10.36,10.36,10.36,3934850,3613850,2144950,1082350
2021/1/2,24,19516100,23148750,18985500,10.74,14.23,14.23,14.23,7.02,7.02,7.02,7.02,7.02,7.02,4083450,3612450,2131850,1054250
2021/1/2,25,19383900,22850000,18710000,8.18,14.23,14.23,14.23,7.15,7.15,7.15,7.15,7.15,7.15,4120050,3649050,2124300,1046700
2021/1/2,26,19257550,22428150,18640150,7.6,13.13,13.13,13.13,7.41,7.41,7.41,7.41,7.41,7.41,4126700,3655700,2024550,1097200
2021/1/2,27,19226650,22683500,18703100,12,12,12,12,12,12,12,12,12,12,4146150,3675150,1994300,1067200
2021/1/2,28,19035500,22678300,18678350,12,12,12,12,12,12,12,12,12,12,4145500,3845500,1980250,1053150
2021/1/2,29,18592350,22558250,18418450,15,15.79,15.79,15.79,10.36,10.36,10.36,10.36,10.36,10.36,3952000,3802000,1637500,955650
2021/1/2,30,18111500,22377150,17965050,15,15.89,15.89,15.89,8.15,8.15,8.15,8.15,8.15,8.15,3744000,3744000,1423750,684650
2021/1/2,31,17565200,21444350,17524150,14.97,16.54,16.54,16.54,12,12,12,12,12,12,3531050,3531050,1171100,488250
2021/1/2,32,17047100,21532900,17024050,20,29,29,29,18.95,18.95,18.95,18.95,18.95,18.95,3361550,3361550,870400,395900
2021/1/2,33,17025200,22186250,17025200,30,30,30,30,30,30,30,30,30,30,3254600,3254600,770100,333500
2021/1/2,34,17262350,22958750,17261800,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02,40.02,3198950,3198950,710200,331500
2021/1/2,35,17355100,23630500,17355100,50,50,50,50,50,50,50,50,50,50,3407200,3407200,613750,332000
2021/1/2,36,17289300,23921150,17289300,60,60,60,60,60,60,60,60,60,60,3416500,3416500,563750,332000
2021/1/2,37,17343950,24186350,17343950,60,60,60,60,60,60,60,60,60,60,3423050,3423050,563200,331450
2021/1/2,38,17338950,24207900,17338950,60,60,60,60,60,60,60,60,60,60,3425200,3425200,563200,331450
2021/1/2,39,17367500,24136900,17367500,60,60,60,60,60,60,60,60,60,60,3439900,3439900,563200,331450
2021/1/2,40,17348550,24026400,17348550,60,60,60,60,60,60,60,60,60,60,3445050,3445050,563200,331450
2021/1/2,41,17290200,24210450,17290200,60,60,60,60,60,60,60,60,60,60,3419900,3419900,563400,331450
2021/1/2,42,17279500,24034450,17279500,60,60,60,60,60,60,60,60,60,60,3419800,3419800,563400,331450
2021/1/2,43,17165550,23834350,17165550,60,60,60,60,60,60,60,60,60,60,3418600,3418600,563400,331450
2021/1/2,44,17189500,23307800,17189500,53.87,53.87,53.87,53.87,53.87,53.87,53.87,53.87,53.87,53.87,3411700,3411700,563400,331450
2021/1/2,45,16655050,22994550,16655050,50,52.19,52.19,52.19,50,50,50,50,50,50,3363150,3363150,563400,331450
2021/1/2,46,16652100,22431100,16652100,50,50,50,50,50,50,50,50,50,50,3341900,3341900,563400,331450
2021/1/2,47,16540900,22193450,16540900,40,40,40,40,37.61,37.61,37.61,37.61,37.61,37.61,3296250,3296250,563400,331450
2021/1/2,48,16495550,21620600,16495550,35,35,35,35,20,20,20,20,20,20,3164650,3164650,520150,331450
2021/1/3,1,15993100,21885350,15962050,40,40,40,40,19,19,19,19,19,19,3327300,3322300,724050,475000
2021/1/3,2,15897050,21710900,15887250,38.21,40,40,40,20,20,20,20,20,20,3454200,3449200,1069850,639650
2021/1/3,3,15763650,21560900,15739350,35,40,40,40,20,20,20,20,20,20,3476650,3471650,1126800,638800
2021/1/3,4,15804500,21525350,15743200,35,40,40,40,20,20,20,20,20,20,3471850,3466850,1263300,712100
2021/1/3,5,15824250,21654500,15777050,35,40,40,40,20,20,20,20,20,20,3431550,3426550,1333450,771050
2021/1/3,6,15855950,21726900,15807950,35,40,40,40,20,20,20,20,20,20,3414950,3409950,1339500,780100
2021/1/3,7,15824150,21744350,15819150,35,40,40,40,20,20,20,20,20,20,3413300,3408300,1356600,796200
2021/1/3,8,15832050,21715500,15827050,35,40,40,40,20,20,20,20,20,20,3411350,3406350,1357050,795650
2021/1/3,9,15826850,21850750,15779950,35,40,40,40,20,20,20,20,20,20,3410300,3405300,1496550,784150
2021/1/3,10,15874800,21851250,15747200,35,40,40,40,20,20,20,20,20,20,3408700,3403700,1487700,775300
2021/1/3,11,15902700,21786900,15748300,35,40,40,40,20,20,20,20,20,20,3432650,3427650,1426400,715000
2021/1/3,12,16004900,21868650,15869350,35,40,40,40,18.73,18.73,18.73,18.73,18.73,18.73,3432000,3427000,1336900,635500
2021/1/3,13,16134950,22118800,16046300,35.25,40,40,40,19,19,19,19,19,19,3435350,3430350,1220200,517000
2021/1/3,14,16050000,22170800,16015500,40,40,40,40,19,19,19,19,19,19,3440050,3435050,954050,359200
2021/1/3,15,16133150,22609850,16117500,40,40.5,40.5,40.5,20.38,20.38,20.38,20.38,20.38,20.38,3502300,3497300,888450,256050
2021/1/3,16,16402750,23095150,16397750,40.02,44,44,44,35,35,35,35,35,35,3625450,3620450,920250,327050
2021/1/3,17,16855250,23416050,16850250,40,40,40,40,35,35,35,35,35,35,3696350,3691350,957650,331450
2021/1/3,18,17147100,23713900,17142100,40,40,40,40,30,30,30,30,30,30,3699150,3694150,916100,331450
2021/1/3,19,17413450,23927400,17408450,40,40,40,40,39.33,39.33,39.33,39.33,39.33,39.33,3698450,3693450,1177750,603400
2021/1/3,20,17849900,23953300,17844900,36.67,40,40,40,21.26,21.26,21.26,21.26,21.26,4.32,3721350,3716350,1313150,676800
2021/1/3,21,18250450,23850800,18075950,32.74,40,40,40,19,19,19,19,19,4.32,3875750,3701250,1302050,803200
2021/1/3,22,18682750,23491100,18373750,25.79,35,35,35,15.19,15.19,15.19,15.19,15.19,4.32,4157150,3848650,1414950,905100
2021/1/3,23,18976950,23127300,18469800,16.3,28.04,28.04,28.04,14.97,14.97,14.97,14.97,14.97,4.32,4306000,3847500,1448800,846450
2021/1/3,24,19221250,23031750,18524400,14.79,25.63,25.63,25.63,15.19,15.19,15.19,15.19,15.19,4.32,4522750,3845750,1416150,962300
2021/1/3,25,19384050,22974100,18492500,14.23,24.94,24.94,24.94,15,15,15,15,15,0.01,4515250,3836250,1511000,1052150
2021/1/3,26,19492050,22752800,18538500,8.62,26.36,26.36,26.36,10.7,10.7,10.7,10.7,10.7,0.01,4524450,3847450,1511000,1059150
2021/1/3,27,19316950,22580350,18348950,8.48,28.81,28.81,28.81,12,12,12,12,12,0.01,4529300,3852300,1467450,1015600
2021/1/3,28,19187300,22495700,18299750,9.92,29.05,29.05,29.05,9.92,9.92,9.92,9.92,9.92,0.01,4530450,3928450,1417950,956600
2021/1/3,29,18987300,22124900,18085500,10.41,29.3,29.3,29.3,8.58,8.58,8.58,8.58,8.58,0.01,4529750,3927750,1138350,827000
2021/1/3,30,18498100,21942550,17897850,14.79,30.26,30.26,30.26,9.92,9.92,9.92,9.92,9.92,0.01,4336600,3928600,973350,662000
2021/1/3,31,17803300,22081750,17464000,25,40,40,40,14.97,14.97,14.97,14.97,14.97,4.32,4115650,3776650,704600,441600
2021/1/3,32,17194450,22055100,16974350,30.57,40,40,40,15.19,15.19,15.19,15.19,15.19,4.32,3922700,3702700,508800,241400
2021/1/3,33,16895800,22247000,16822300,40,40,40,40,19,19,19,19,19,19,3816000,3742500,492800,216500
2021/1/3,34,16444200,23272500,16370700,44,45,45,45,45,45,45,45,45,45,3765700,3692200,729800,331500
2021/1/3,35,16160550,23947350,16087050,62,65,65,65,65,65,65,65,65,65,3791200,3717700,699950,332000
2021/1/3,36,16173100,24349450,16168100,65,65,65,65,65,65,65,65,65,65,3679100,3674100,747850,332000
2021/1/3,37,16192150,24565200,16187150,65,65.53,65.53,65.53,65.53,65.53,65.53,65.53,65.53,65.53,3638050,3633050,805700,331450
2021/1/3,38,16299200,24605750,16294200,62,62,62,62,62,62,62,62,62,62,3639700,3634700,818250,331450
2021/1/3,39,16276100,24574950,16271100,62,62,62,62,62,62,62,62,62,62,3604250,3599250,825750,331450
2021/1/3,40,16265850,24504100,16260850,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,60.01,3604100,3599100,832550,331450
2021/1/3,41,16190950,24435150,16185950,60.02,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,3603750,3598750,885250,383950
2021/1/3,42,16196400,24301400,16191400,62,62,62,62,62,62,62,62,62,62,3603450,3598450,792250,390950
2021/1/3,43,16188300,24119450,16183300,50,50,50,50,50,50,50,50,50,50,3602250,3597250,777250,375950
2021/1/3,44,16174350,23508050,16169350,50,50,50,50,50,50,50,50,50,50,3599700,3594700,771250,369950
2021/1/3,45,16134500,23205700,16129500,50,50,50,50,50,50,50,50,50,50,3551000,3546000,760500,392950
2021/1/3,46,16053100,22627000,16048100,44,44,44,44,44,44,44,44,44,44,3545500,3540500,685250,372950
2021/1/3,47,16156600,22387500,16151600,40,40,40,40,40,40,40,40,40,40,3499900,3494900,733200,425950
2021/1/3,48,16203650,21773300,16198650,40,40,40,40,20.04,20.04,20.04,20.04,20.04,20.04,3492450,3487450,718150,440950
2021/1/4,1,16090450,21960050,16089250,42,42,42,42,40,40,40,40,40,40,3057350,3057350,841450,591950
2021/1/4,2,16304650,21859400,16303800,40,40,40,40,20.02,20.02,20.02,20.02,20.02,20.02,3310750,3310750,1106900,600250
2021/1/4,3,16515400,21798600,16513650,40,40,40,40,20,20,20,20,20,20,3446800,3446800,1139650,615900
2021/1/4,4,16646400,21742950,16545550,40,40,40,40,20,20,20,20,20,20,3480200,3480200,1174650,641900
2021/1/4,5,16657750,21682950,16552900,35,40,40,40,20,20,20,20,20,20,3440200,3440200,1124800,659050
2021/1/4,6,16686300,21653150,16603550,35,40,40,40,20,20,20,20,20,20,3426750,3426750,1198150,707750
2021/1/4,7,16746150,21216900,16649700,28.5,40,40,40,20,20,20,20,20,20,3425900,3425900,1239750,710600
2021/1/4,8,16749850,21133000,16628400,24.64,40,40,40,20,20,20,20,20,20,3425450,3425450,1172100,692600
2021/1/4,9,16679650,21293600,16622850,34.61,40,40,40,20,20,20,20,20,20,3390350,3390350,1200350,662700
2021/1/4,10,16599650,21463150,16598750,40,40,40,40,20,20,20,20,20,20,3391300,3391300,1198500,653700
2021/1/4,11,16424150,21912950,16423300,40,40,40,40,20.02,20.02,20.02,20.02,20.02,20.02,3285050,3285050,1141200,624550
2021/1/4,12,16277750,22881400,16277000,42,42,42,42,24.64,24.64,24.64,24.64,24.64,24.64,3290600,3290600,1371650,588400
2021/1/4,13,16582650,23575450,16582050,44,44,44,44,44,44,44,44,44,44,3232550,3232550,1429550,466150
2021/1/4,14,16416750,24571950,16416300,50,50.66,50.66,50.66,50.66,50.66,50.66,50.66,50.66,50.66,3098400,3098400,1362600,355550
2021/1/4,15,16435850,25424800,16435500,80,80,80,80,80,80,80,80,80,80,3114550,3114550,1366100,325050
2021/1/4,16,16822000,26011250,16822000,80,80,80,80,80,80,80,80,80,80,3139950,3139950,1181300,330050
2021/1/4,17,18397250,26367050,18394150,75.2,77.1,77.1,77.1,65,65,65,65,65,65,3230650,3230650,1302850,334950
2021/1/4,18,18741800,26891750,18739000,77.1,77.1,77.1,77.1,70,70,70,70,70,70,3222150,3222150,1217950,334950
2021/1/4,19,19421750,27049150,19419200,65,75.2,75.2,75.2,50,50,50,50,50,50,3217350,3217350,1513400,335000
2021/1/4,20,19971800,27013750,19969450,50,62.01,62.01,62.01,50,50,50,50,50,50,3212900,3212900,1377050,367000
2021/1/4,21,20311000,26987900,20305900,45,45,45,45,40.02,40.02,40.02,40.02,40.02,40.02,3260350,3260350,1451300,419050
2021/1/4,22,20733200,26917850,20726650,35,40,40,40,20.02,20.02,20.02,20.02,20.02,20.02,3368300,3368300,1435650,493050
2021/1/4,23,21146100,26934750,21140950,35,40,40,40,18.1,18.1,18.1,18.1,18.1,18.1,3517000,3517000,1491950,544000
2021/1/4,24,21409650,26690650,21404350,30,35,35,35,12.1,12.1,12.1,12.1,12.1,12.1,3666700,3666700,1557300,611500
2021/1/4,25,21333250,25518550,21125500,14.23,35,35,35,8,8,8,8,8,4.32,3818150,3668150,1381900,641500
2021/1/4,26,21446750,25363100,21065500,12.1,35,35,35,7.95,7.95,7.95,7.95,7.95,4.32,3817250,3667250,1365500,629000
2021/1/4,27,21515950,26257300,21348050,19,35,35,35,8.68,8.68,8.68,8.68,8.68,8.68,3815900,3665900,1551100,656500
2021/1/4,28,21161700,26392750,21006100,26.57,40,40,40,14.97,14.97,14.97,14.97,14.97,14.97,3817150,3667150,1630300,601500
2021/1/4,29,20774800,26483800,20769350,31.27,40,40,40,15.33,15.33,15.33,15.33,15.33,15.33,3666650,3666650,1724950,589500
2021/1/4,30,20250600,26370700,20245450,35,40,40,40,20.02,20.02,20.02,20.02,20.02,20.02,3506350,3506350,1648900,586850
2021/1/4,31,19704450,25370800,19699400,40,40,40,40,30.02,30.02,30.02,30.02,30.02,30.02,3360800,3360800,1251500,449400
2021/1/4,32,19132800,25664600,19128200,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,40.45,3251700,3251700,1077100,392900
2021/1/4,33,18774300,25615700,18772400,60,61.1,61.1,61.1,55,55,55,55,55,55,3198150,3198150,1111350,336500
2021/1/4,34,18415900,25897350,18414100,70,70,70,70,70,70,70,70,70,70,3361800,3361800,1158350,336500
2021/1/4,35,18031400,26063150,18029500,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,3433650,3433650,1360700,338000
2021/1/4,36,18077600,26086550,18075700,70,70,70,70,70,70,70,70,70,70,3445800,3445800,1501000,338000
2021/1/4,37,18103650,25879000,18101300,70,70,70,70,70,70,70,70,70,70,3452500,3452500,1498600,337450
2021/1/4,38,18146400,25671300,18144000,70,70,70,70,70,70,70,70,70,70,3458650,3458650,1479900,337450
2021/1/4,39,18311850,25336100,18310750,65,65,65,65,65,65,65,65,65,65,3470550,3470550,1483850,337450
2021/1/4,40,18372500,25120300,18371400,50,50,50,50,50,50,50,50,50,50,3473100,3473100,1493500,337450
2021/1/4,41,17867300,24801450,17867300,65,65,65,65,65,65,65,65,65,65,3462050,3462050,1447900,337450
2021/1/4,42,17806350,24534450,17806350,60.02,60.02,60.02,60.02,60.02,60.02,60.02,60.02,60.02,60.02,3463400,3463400,1378550,337450
2021/1/4,43,17704300,24758900,17704300,52,52,52,52,52,52,52,52,52,52,3463850,3463850,1275500,337450
2021/1/4,44,17727900,24368700,17727900,52,52,52,52,52,52,52,52,52,52,3461850,3461850,1191500,337450
2021/1/4,45,16637500,24004800,16637500,70,70,70,70,70,70,70,70,70,70,3373600,3373600,1027500,339950
2021/1/4,46,16467100,23608300,16467100,70,70,70,70,70,70,70,70,70,70,3214200,3214200,962750,343450
2021/1/4,47,16183950,22918800,16183950,53,53,53,53,53,53,53,53,53,53,3100100,3100100,920450,346950
2021/1/4,48,16235500,22450500,16235500,50,50,50,50,50,50,50,50,50,50,3080850,3080850,911250,381950
2021/1/5,1,16680150,22909400,16679750,45,50,50,50,25.89,25.89,25.89,25.89,25.89,25.89,2998250,2998250,1040700,290050
2021/1/5,2,16679050,22941200,16679050,40,40,40,40,35.05,35.05,35.05,35.05,35.05,35.05,3108050,3108050,1373650,289300
2021/1/5,3,16708200,22797500,16708200,40,40,40,40,20.02,20.02,20.02,20.02,20.02,20.02,3136050,3136050,1492200,323350
2021/1/5,4,16798000,22869850,16798000,40,40,40,40,19,19,19,19,19,19,3140500,3140500,1639150,370800
2021/1/5,5,16774750,22983600,16774750,40,40,40,40,20,20,20,20,20,20,3139450,3139450,1740750,460900
2021/1/5,6,16772650,23071200,16772650,40,40,40,40,26.89,26.89,26.89,26.89,26.89,26.89,3112350,3112350,1873350,547150
2021/1/5,7,16779900,22627650,16779900,40,40,40,40,30,30,30,30,30,30,3088950,3088950,1946250,589400
2021/1/5,8,16827600,22584500,16827600,40,40,40,40,25.39,25.39,25.39,25.39,25.39,25.39,3131550,3131550,1953450,570900
2021/1/5,9,16759100,22388200,16759100,40,40,40,40,20,20,20,20,20,20,3195150,3195150,1806500,558200
2021/1/5,10,16691350,22208750,16691350,40,40,40,40,19,19,19,19,19,19,3196150,3196150,1501500,377250
2021/1/5,11,16671600,22699600,16671600,40,40,40,40,26.89,26.89,26.89,26.89,26.89,26.89,3204350,3204350,1467550,356050
2021/1/5,12,16639600,23250350,16639600,50,50,50,50,50,50,50,50,50,50,3219650,3219650,1330900,361550
2021/1/5,13,17044600,24320600,17044600,60.02,80,80,80,50,50,50,50,50,50,3221450,3221450,1237950,340050
2021/1/5,14,17082850,25345500,17082850,80,80.01,80.01,80.01,80,80,80,80,80,80,3236600,3236600,1196050,335050
2021/1/5,15,17335150,26241300,17335150,80.2,85,85,85,80,80,80,80,80,80,3401500,3401500,959000,335550
2021/1/5,16,17451550,26979300,17451550,85,85,85,85,80.01,80.01,80.01,80.01,80.01,80.01,3357750,3357750,927100,335550
2021/1/5,17,19067650,28885800,19064050,80,80.01,80.01,80.01,80,80,80,80,80,80,3399450,3399450,1123100,414950
2021/1/5,18,19153650,29599850,19153650,80,80.01,80.01,80.01,80,80,80,80,80,80,3388650,3388650,1052900,390450
2021/1/5,19,19122650,29880450,19122650,80,80,80,80,80,80,80,80,80,80,3233850,3233850,1149550,465000
2021/1/5,20,19357400,29351600,19357400,80,80,80,80,80,80,80,80,80,80,3229100,3229100,1008800,400000
2021/1/5,21,19632650,29705800,19632650,70,70,70,70,70,70,70,70,70,70,3181300,3181300,1036050,454500
2021/1/5,22,19960350,30046950,19960350,60,60,60,60,60,60,60,60,60,60,3190100,3190100,1847150,429500
2021/1/5,23,19865850,30146350,19865850,60,60,60,60,60,60,60,60,60,60,3189000,3189000,2312000,516450
2021/1/5,24,19907900,30128300,19907900,50,50,50,50,50,50,50,50,50,50,3189150,3189150,2663850,450950
2021/1/5,25,19963150,28574150,19959550,40,40,40,40,40,40,40,40,40,40,3204400,3204400,2750100,577950
