受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2021/1/1,1,16002350,22368100,16001950,40,50,50,50,50,50,50,50,50,50,2950000,2950000,1011150,478500
2021/1/1,2,15988000,22081150,15988000,35,40,40,40,30,30,30,30,30,30,3122200,3122200,1177750,478500
2021/1/1,3,15798500,22025600,15798500,35,37.13,37.13,37.13,30,30,30,30,30,30,3143000,3143000,1421700,523450
2021/1/1,4,15828200,22066800,15828200,30,35,35,35,25,25,25,25,25,25,3143900,3143900,1649350,522600
2021/1/1,5,15604350,21937100,15604350,25.02,35,35,35,30,30,30,30,30,30,3114200,3114200,1881000,522150
2021/1/1,6,15678200,21997800,15678200,28,35,35,35,25,25,25,25,25,25,3111850,3111850,2093500,521650
2021/1/1,7,15701850,22190050,15701850,25,30,30,30,25,25,25,25,25,25,3109900,3109900,2291900,522000
2021/1/1,8,15866600,22152450,15866250,25,28,28,28,20,20,20,20,20,20,3109400,3109400,2291200,521800
2021/1/1,9,15857050,22131100,15856950,25,35,35,35,15.19,15.19,15.19,15.19,15.19,15.19,3139850,3139850,2274000,521550
2021/1/1,10,15968450,22045250,15968350,25,35,35,35,14.97,14.97,14.97,14.97,14.97,14.97,3249750,3249750,2257850,521900
2021/1/1,11,16049900,21838800,16049800,25,25.02,25.02,25.02,14.97,14.97,14.97,14.97,14.97,14.97,3239400,3239400,2007000,522550
2021/1/1,12,16146300,21550500,16146200,20.02,28,28,28,14.97,14.97,14.97,14.97,14.97,14.97,3201600,3201600,1790450,550500
2021/1/1,13,16373850,21420650,16308550,25,28,28,28,15.19,15.19,15.19,15.19,15.19,15.19,3130550,3130550,1508400,581500
2021/1/1,14,16296100,21484850,16291450,28,28,28,28,20,20,20,20,20,20,3134750,3134750,1348550,568100
2021/1/1,15,16402650,21839000,16402650,28,30,30,30,30,30,30,30,30,30,3141250,3141250,1177500,569250
2021/1/1,16,16673700,22173650,16673700,30,35.79,35.79,35.79,30,30,30,30,30,30,3171950,3171950,1096850,569750
